feature,value,0,1,2
num_mlp_0_1_outputs,11,-0.19606915,0.678538,-0.5097539
num_mlp_0_1_outputs,12,-0.2960064,0.63688636,-0.58365995
num_mlp_0_1_outputs,13,0.08812179,1.2200134,-0.789615
num_mlp_0_1_outputs,14,-0.85683525,-0.19258611,0.5970905
num_mlp_0_1_outputs,15,-0.4722959,0.67204255,-1.1844642
num_mlp_0_1_outputs,2,0.010270939,1.1082705,-0.88280076
num_mlp_0_1_outputs,3,0.44714484,0.83340526,0.8353567
num_mlp_0_1_outputs,4,-0.24274758,0.90492123,-0.54627174
num_mlp_0_1_outputs,5,0.13478486,0.59446716,-1.3325164
num_mlp_0_1_outputs,6,0.7989552,1.0283132,-1.4190129
num_mlp_0_1_outputs,7,-0.3080514,0.6795657,-0.46014494
num_mlp_0_1_outputs,8,0.15060617,0.82601637,0.24035563
num_mlp_0_1_outputs,9,-0.7461825,0.12942268,-1.0021876
num_mlp_1_0_outputs,0,-0.69860363,0.5893388,1.0161942
num_mlp_1_0_outputs,1,-0.84501016,0.05186412,0.61907053
num_mlp_1_0_outputs,10,-0.4683071,0.5362813,0.9570572
num_mlp_1_0_outputs,11,0.43673268,1.0378262,1.4446926
num_mlp_1_0_outputs,12,-0.4732274,0.22151338,0.2044575
num_mlp_1_0_outputs,13,-0.5900104,0.2847627,0.22125933
num_mlp_1_0_outputs,14,0.7024901,0.92338854,0.668506
num_mlp_1_0_outputs,15,-0.74538356,0.29741046,0.8885455
num_mlp_1_0_outputs,2,-0.9203967,0.40559596,0.8682576
num_mlp_1_0_outputs,3,-0.8908274,0.013748357,0.5477431
num_mlp_1_0_outputs,4,-1.1390686,-0.21328683,0.3099568
num_mlp_1_0_outputs,5,-1.1387318,0.081720196,0.8401029
num_mlp_1_0_outputs,6,-1.3040904,0.14966698,0.75785667
num_mlp_1_0_outputs,7,-0.87589747,0.40298897,1.0154467
num_mlp_1_0_outputs,8,-1.2802954,-0.025575064,0.40018713
num_mlp_1_0_outputs,9,-1.3712573,-0.11306436,0.4588428
num_mlp_1_1_outputs,0,-1.2785645,0.24604462,0.1948519
num_mlp_1_1_outputs,1,-0.8897737,0.4354942,0.9470846
num_mlp_1_1_outputs,10,-0.94336003,0.45231187,0.7755315
num_mlp_1_1_outputs,11,-0.8506271,0.17669164,0.4708491
num_mlp_1_1_outputs,12,-0.6107633,0.14077428,0.44546828
num_mlp_1_1_outputs,13,-0.77722806,0.044108815,0.3717808
num_mlp_1_1_outputs,14,-0.6139763,0.29624176,0.24042273
num_mlp_1_1_outputs,15,-0.7214039,0.592629,0.95665985
num_mlp_1_1_outputs,2,-0.69166404,0.6464199,0.92280394
num_mlp_1_1_outputs,3,-1.0932541,0.17190222,0.5322663
num_mlp_1_1_outputs,4,-0.70776975,0.5580786,0.88155395
num_mlp_1_1_outputs,5,-0.9820517,0.38914123,0.9657543
num_mlp_1_1_outputs,6,-1.6889684,-0.19661081,0.37042338
num_mlp_1_1_outputs,7,-1.1661178,0.12963714,0.763784
num_mlp_1_1_outputs,8,-0.9665591,0.15481938,0.85255456
num_mlp_1_1_outputs,9,-1.2645609,0.17491983,0.6579332
num_mlp_2_0_outputs,0,-0.78747463,0.05006403,0.7748068
num_mlp_2_0_outputs,1,-1.3074362,-0.43344545,0.093151
num_mlp_2_0_outputs,10,-0.88632655,0.021130923,0.7311391
num_mlp_2_0_outputs,11,-0.9162339,0.11831005,0.50977206
num_mlp_2_0_outputs,12,-0.49967125,0.5613571,0.98961776
num_mlp_2_0_outputs,13,-0.43311566,0.12011229,0.8319228
num_mlp_2_0_outputs,14,-0.62416136,0.3515154,0.91880125
num_mlp_2_0_outputs,15,-0.43284225,0.51884776,1.198637
num_mlp_2_0_outputs,2,-0.70401555,0.15956463,0.7739324
num_mlp_2_0_outputs,3,-1.233943,-0.29223448,0.41606554
num_mlp_2_0_outputs,4,-0.8846119,0.13807204,0.756943
num_mlp_2_0_outputs,5,-0.88082314,-0.06782184,0.7743129
num_mlp_2_0_outputs,6,-0.6714258,0.23560868,1.0724554
num_mlp_2_0_outputs,7,-0.40949312,0.5301826,1.040753
num_mlp_2_0_outputs,8,-1.0779531,0.15310182,0.74900305
num_mlp_2_0_outputs,9,-0.5578326,0.4998033,0.9516839
num_mlp_2_1_outputs,0,-1.0530149,0.058895744,0.29724386
num_mlp_2_1_outputs,1,-0.64142007,0.39867312,0.7066208
num_mlp_2_1_outputs,10,-1.0017201,0.10692366,0.33972093
num_mlp_2_1_outputs,11,-0.21246262,0.53920686,0.9980094
num_mlp_2_1_outputs,12,-0.48840997,0.80552363,1.1556146
num_mlp_2_1_outputs,13,-0.6700476,0.2077416,0.5878431
num_mlp_2_1_outputs,14,-0.6451891,0.40281218,1.1953546
num_mlp_2_1_outputs,15,-1.1334925,0.13234292,0.2582942
num_mlp_2_1_outputs,2,-0.5163138,0.6481875,0.77977324
num_mlp_2_1_outputs,3,-1.5350986,0.017945617,2.5640826
num_mlp_2_1_outputs,4,-1.2386068,0.24762733,0.36281154
num_mlp_2_1_outputs,5,-0.83438,0.2031896,0.5566467
num_mlp_2_1_outputs,6,-1.0570205,0.3547897,0.5599685
num_mlp_2_1_outputs,7,-0.20577602,0.8022441,0.83692884
num_mlp_2_1_outputs,8,-0.7105288,0.54958165,0.7863287
num_mlp_2_1_outputs,9,-1.4721944,-0.00088787836,0.9287599
ones,_,-0.5337791,0.7977863,-0.764876
positions,0,0.4170592,-0.15394197,-0.07628397
positions,1,7.333621,-3.2014525,-9.976181
positions,10,-6.080465,-3.0699222,6.2203865
positions,11,-9.378096,-7.618526,8.780698
positions,12,-6.1527553,-8.067939,7.6725225
positions,13,-3.675251,-15.263471,10.795816
positions,14,-34.138493,-8.91601,24.141542
positions,15,-0.13440852,0.23349711,0.47348312
positions,2,3.3508348,0.09906933,-4.585079
positions,3,1.335155,1.7209195,-3.3610609
positions,4,-6.347542,8.755614,-2.0100951
positions,5,3.437997,2.3640833,-6.001458
positions,6,0.0034988709,2.9592075,-2.2065926
positions,7,-0.14214744,1.887093,-1.1472956
positions,8,-5.495549,-0.3795877,4.8343987
positions,9,-4.7468514,-1.6639181,3.8948777
tokens,0,-0.6952314,-0.10934449,-0.1388677
tokens,1,-0.9304429,1.1174419,-1.0423577
tokens,2,-2.0872772,-0.3648149,1.4567517
tokens,</s>,0.11362643,-0.2411233,0.6770344
tokens,<pad>,-0.028825736,0.50207466,-0.30787438
tokens,<s>,0.44629034,-0.1107116,-1.0842422
tokens,_,-1.1307613,0.3384094,-0.92437536
tokens,_,-0.15012525,-0.51307154,-0.0023893197
tokens,_,0.7191233,-0.14790227,-0.2521861
tokens,_,-0.4427889,0.4701176,0.15877242
tokens,_,0.8885366,0.2346002,0.2712646
